participant_id,text_id,text_domain,acc_tq1,acc_tq2,acc_tq3,mean_acc_tq,reader_discipline,level_of_studies
262,b1,biology,0,0,1,0.3333333333333333,physics,graduate
262,b2,biology,1,0,0,0.3333333333333333,physics,graduate
262,b3,biology,1,0,0,0.3333333333333333,physics,graduate
262,b4,biology,1,0,0,0.3333333333333333,physics,graduate
262,b5,biology,0,1,0,0.3333333333333333,physics,graduate
262,p0,physics,0,0,0,0.0,physics,graduate
262,p1,physics,0,0,0,0.0,physics,graduate
262,p2,physics,0,1,1,0.6666666666666666,physics,graduate
262,p3,physics,1,0,1,0.6666666666666666,physics,graduate
262,p4,physics,0,0,0,0.0,physics,graduate
262,p5,physics,0,0,0,0.0,physics,graduate
269,b0,biology,0,1,0,0.3333333333333333,physics,graduate
269,b1,biology,1,0,0,0.3333333333333333,physics,graduate
269,b2,biology,0,0,0,0.0,physics,graduate
269,b3,biology,0,1,0,0.3333333333333333,physics,graduate
269,b4,biology,0,0,0,0.0,physics,graduate
269,b5,biology,0,0,0,0.0,physics,graduate
269,p0,physics,0,0,0,0.0,physics,graduate
269,p1,physics,1,0,0,0.3333333333333333,physics,graduate
269,p2,physics,0,0,0,0.0,physics,graduate
269,p3,physics,0,0,1,0.3333333333333333,physics,graduate
269,p4,physics,0,0,0,0.0,physics,graduate
269,p5,physics,0,0,0,0.0,physics,graduate
