aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	161.0	1556.0	837.0	1604.0	919.0	sie
0 RECTANGLE	162.0	81.0	919.0	129.0	998.0	den
0 RECTANGLE	163.0	129.0	919.0	199.0	998.0	Rand
0 RECTANGLE	164.0	199.0	919.0	253.0	998.0	des
0 RECTANGLE	165.0	253.0	919.0	436.0	998.0	Magnetfeldes
0 RECTANGLE	166.0	436.0	919.0	563.0	998.0	erreicht
0 RECTANGLE	167.0	563.0	919.0	647.0	998.0	haben
0 RECTANGLE	168.0	647.0	919.0	703.0	998.0	und
0 RECTANGLE	169.0	703.0	919.0	773.0	998.0	dort
0 RECTANGLE	170.0	773.0	919.0	857.0	998.0	durch
0 RECTANGLE	171.0	857.0	919.0	913.0	998.0	ein
0 RECTANGLE	172.0	913.0	919.0	1093.0	998.0	elektrisches
0 RECTANGLE	173.0	1093.0	919.0	1250.0	998.0	Ablenkfeld
0 RECTANGLE	174.0	1250.0	919.0	1402.0	998.0	extrahiert
0 RECTANGLE	175.0	1402.0	919.0	1501.0	998.0	werden
0 RECTANGLE	176.0	1501.0	919.0	1601.0	998.0	können.
